,name,longitude,latitude
418,Rajasaarentie,24.911127,60.183137
419,Korjaamo,24.9198371,60.1838677
420,Olympiastadion,24.9249741,60.1845055
421,Nordenskiöldinaukio,24.91724984112588,60.18523632967096
422,Messeniuksenkatu,24.9180102,60.1878352
423,Uimastadion,24.9292286,60.1892172
424,Jäähalli,24.9205978,60.1894025
425,Stenbäckinkatu,24.9123717,60.1883091
426,Töölöntulli,24.912827135427882,60.19095693226663
427,Meilahden sairaala,24.9083351,60.1902195
428,Paciuksenkatu,24.901008,60.191524
429,Jalavatie,24.905889,60.1934696
430,Kuusitie,24.9018997,60.1952452
431,Kustaankatu,24.95597593163,60.1882752174
432,Kiskontie,24.9012997,60.1989402
433,Tilkanvierto,24.899261,60.1975329
434,Paciuksenkaari,24.8911179,60.1944475
435,Seurasaari,24.8847362,60.188399
436,Saunalahdentie,24.87922144235,60.1926305828
437,Torpanranta,24.8713963,60.1948358
438,Laajalahden aukio,24.876221716500662,60.19793090756802
439,Munkkiniemen aukio,24.8840917,60.1967196
440,Huopalahdentie,24.8836209,60.1996653
441,Ulvilantie,24.8708833,60.2038803
442,Muusantori,24.8559544,60.2071193
443,Pähkinärinne library,24.805655,60.2565987
444,Koivuvaarankuja,24.8145545,60.2546414
445,Nuijatie,24.8300791,60.259273
446,Orionintie,24.771826,60.180118
447,Outotec,24.742219,60.163412
448,Derby Business Park,24.835356,60.209017
449,Ainontie,24.8038507,60.2710845
450,Lammasrinne,24.8065774,60.2618736
451,Messitytönkatu,24.909692,60.1589276
452,Kauppakartanonkuja,25.031111942585127,60.19313762536413
453,Armas Launiksen katu,24.814828,60.218731
